time,Bx,By,Bz,BT
2.166860,-0.56,31.03,-17.41,35.58
2.177883,-0.48,31.07,-17.29,35.56
2.188440,-0.33,30.97,-17.29,35.47
2.198071,-0.43,30.83,-17.13,35.28
2.207930,-0.30,31.14,-17.08,35.52
2.217159,-0.36,31.17,-17.35,35.68
2.227996,-0.28,31.15,-17.54,35.75
2.246919,-0.36,31.22,-17.60,35.85
2.248683,-0.24,31.24,-17.58,35.85
2.262720,-0.08,31.16,-17.70,35.84
2.267330,-0.22,31.16,-17.89,35.93
2.284439,0.06,31.32,-17.97,36.11
2.286674,0.07,30.95,-18.16,35.88
2.297450,-0.13,30.95,-18.12,35.87
2.307253,-0.13,30.90,-18.08,35.80
2.317078,-0.03,30.94,-17.87,35.73
2.328668,0.19,30.82,-17.98,35.69
2.348133,0.15,31.01,-17.95,35.83
2.349819,0.29,31.10,-17.62,35.75
2.368744,0.23,31.11,-17.38,35.64
2.370922,0.02,31.17,-17.25,35.63
2.377628,0.53,31.29,-17.25,35.74
2.389733,0.67,31.20,-17.15,35.61
2.397710,0.67,31.16,-17.32,35.66
2.407128,0.47,31.29,-17.33,35.77
2.416638,0.50,31.37,-17.23,35.79
2.428074,0.61,31.31,-17.19,35.72
2.440211,0.71,31.40,-17.25,35.83
2.448321,0.89,31.50,-17.44,36.02
2.458031,0.88,31.60,-17.12,35.95
2.467630,1.00,31.85,-17.14,36.19
2.477744,1.10,31.89,-17.14,36.22
2.498491,1.12,31.87,-17.22,36.24
2.500323,0.94,31.80,-17.25,36.19
2.508149,0.86,31.77,-17.58,36.32
2.518204,0.74,31.61,-17.78,36.27
2.527003,0.74,31.48,-17.70,36.12
2.538332,0.62,31.50,-17.68,36.13
2.548137,0.12,31.21,-17.89,35.97
2.557057,-0.02,31.21,-18.03,36.04
2.567288,-0.06,31.16,-17.79,35.88
2.578197,0.06,31.27,-17.87,36.01
2.590782,0.08,31.25,-17.54,35.84
2.597744,0.19,31.09,-17.60,35.72
2.607028,0.21,31.14,-17.71,35.83
2.617066,0.05,31.10,-17.89,35.88
2.630383,0.12,31.29,-17.76,35.97
2.649242,0.19,31.08,-17.73,35.79
2.651533,0.41,31.02,-17.89,35.81
2.658923,0.59,30.80,-17.88,35.62
2.667385,0.63,30.66,-17.90,35.50
2.678852,0.49,30.69,-17.94,35.55
2.688834,0.44,30.53,-17.97,35.43
2.696981,0.66,30.58,-18.09,35.53
2.707648,0.86,30.70,-18.09,35.65
2.718107,0.93,31.09,-17.98,35.92
2.733453,0.71,31.29,-17.91,36.06
2.739151,0.32,31.33,-18.18,36.22
2.747987,0.16,31.33,-18.18,36.22
2.757563,0.34,31.59,-18.09,36.40
2.767481,0.38,31.70,-18.07,36.49
2.777101,0.44,31.35,-17.93,36.12
2.789232,0.59,31.26,-17.79,35.97
2.798042,0.21,31.04,-18.06,35.91
2.808291,0.53,31.09,-18.14,36.00
2.817697,0.77,31.06,-17.77,35.79
2.827182,0.69,31.09,-17.90,35.89
2.843521,0.55,30.88,-17.90,35.69
2.846997,0.39,30.88,-17.67,35.58
2.857588,0.33,30.85,-17.40,35.42
2.867449,0.11,30.92,-17.79,35.67
2.879275,0.27,31.04,-17.44,35.60
2.889896,0.09,30.84,-17.52,35.46
2.897121,-0.01,30.83,-17.65,35.53
2.909006,0.19,31.12,-17.64,35.77
2.917628,0.10,31.16,-17.58,35.78
2.927148,0.39,31.04,-17.79,35.78
2.947195,0.45,31.26,-17.93,36.04
2.948469,0.53,31.32,-17.54,35.90
2.960098,0.83,31.17,-17.73,35.87
2.967507,0.73,31.26,-17.67,35.92
2.978780,0.87,31.21,-17.63,35.85
2.986437,0.95,30.95,-17.82,35.72
2.998293,1.23,31.00,-17.74,35.74
3.008825,1.13,30.91,-17.68,35.63
3.017126,1.14,30.82,-17.51,35.47
3.027567,1.06,30.71,-17.56,35.40
3.038818,0.87,30.82,-17.59,35.50
3.048273,0.91,30.77,-17.70,35.51
3.058184,0.79,30.97,-17.78,35.72
3.068768,0.71,31.14,-17.59,35.77
3.079912,0.71,31.35,-17.69,36.01
3.089627,0.68,31.72,-17.58,36.27
3.098120,0.78,31.84,-17.90,36.53
3.107672,0.82,32.00,-18.01,36.73
3.117439,0.80,31.82,-18.13,36.63
3.127247,0.82,31.84,-17.97,36.57
3.137085,0.94,31.64,-17.85,36.34
3.148250,1.03,31.52,-18.04,36.34
3.157736,0.85,31.37,-18.26,36.31
3.168542,0.85,31.21,-18.49,36.28
3.178181,0.75,31.30,-18.55,36.39
3.191792,0.69,31.11,-18.54,36.23
3.198170,0.77,31.17,-18.25,36.13
3.208868,0.63,31.05,-18.43,36.11
3.217784,0.49,31.17,-18.43,36.22
3.227792,0.17,30.95,-18.18,35.89
3.239217,0.29,30.93,-18.06,35.82
3.248059,0.21,30.77,-17.84,35.57
3.257528,0.15,30.69,-17.51,35.33
3.267291,0.11,30.60,-17.47,35.24
3.278099,0.13,30.76,-17.44,35.36
3.290663,0.21,30.84,-17.44,35.43
3.297588,0.15,30.78,-17.46,35.39
3.307380,0.25,30.94,-17.46,35.53
3.317701,0.19,30.75,-17.38,35.32
3.326987,0.39,31.09,-17.48,35.67
3.340956,0.35,30.92,-17.75,35.65
3.347784,0.17,30.87,-17.50,35.49
3.357099,0.11,30.94,-17.65,35.62
3.368145,0.17,31.09,-17.35,35.61
3.377639,0.37,31.07,-17.40,35.61
3.390244,0.45,31.23,-17.42,35.77
3.398235,0.26,31.47,-17.51,36.01
3.407622,0.27,31.18,-17.64,35.82
3.418614,0.14,31.51,-17.72,36.15
3.429164,0.38,31.53,-17.95,36.29
3.444037,0.36,31.27,-17.70,35.93
3.447921,0.39,30.97,-17.85,35.75
3.458311,0.37,30.94,-17.69,35.64
3.467737,0.13,30.66,-18.02,35.56
3.477066,0.32,30.46,-17.90,35.33
3.488336,0.31,30.63,-17.82,35.43
3.498183,0.18,30.41,-17.59,35.13
3.508771,0.29,30.74,-17.51,35.38
3.518336,0.39,30.74,-17.42,35.34
3.527740,0.37,30.82,-17.40,35.39
3.538121,0.31,30.80,-17.48,35.41
3.548034,0.57,31.13,-17.27,35.60
3.557990,0.72,31.45,-17.29,35.90
3.568143,0.63,31.29,-17.23,35.73
3.577489,0.87,31.23,-17.40,35.76
3.588739,0.73,30.92,-17.53,35.55
3.599150,0.73,30.82,-17.67,35.54
3.607986,0.49,30.90,-17.57,35.55
3.617850,0.55,30.92,-17.49,35.53
3.627950,0.65,30.76,-17.49,35.39
3.639045,0.56,30.41,-17.58,35.13
3.647992,0.35,30.63,-17.45,35.26
3.657612,0.23,30.65,-17.40,35.25
3.668305,0.13,30.78,-17.46,35.39
3.677839,-0.23,30.86,-17.38,35.42
